"","...1","...2","Make","Model","Variant","Displacement","Cylinders","Valves_Per_Cylinder","Emission_Norm","Fuel_Tank_Capacity","Fuel_Type","Height","Length","Width","Doors","City_Mileage","ARAI_Certified_Mileage","Kerb_Weight","Gears","Ground_Clearance","Front_Track","Rear_Track","Power","Torque","Seating_Capacity","Type","Wheelbase","Boot_Space","Minimum_Turning_Radius"
"1",1,0,36,"Nano Genx","Xt",624,2,2,"BS IV",24,"Petrol",1652,3164,1750,5,23.6,23.6,660,1,180,1325,1315,"38PS@5500rpm","51Nm@4000rpm",4,"Manual",2230,110,4
"2",2,1,36,"Nano Genx","Xe",624,2,2,"BS IV",24,"Petrol",1652,3164,1750,5,23.6,23.6,725,1,180,1325,1315,"38PS@5500rpm","51Nm@4000rpm",4,"Manual",2230,110,4
"3",3,2,36,"Nano Genx","Emax Xm",624,2,2,"BS IV",15,"CNG",1652,3164,1750,4,94.0801963534362,19.8741181581234,710,1,180,1325,1315,"38PS@5500rpm","51Nm@4000rpm",4,"Manual",2230,110,4
"4",4,3,36,"Nano Genx","Xta",624,2,2,"BS IV",24,"Petrol",1652,3164,1750,5,23.6,21.9,725,2,180,1325,1315,"38PS@5500rpm","51Nm@4000rpm",4,"Automatic",2230,94,4
"5",5,4,36,"Nano Genx","Xm",624,2,2,"BS IV",24,"Petrol",1652,3164,1750,5,23.6,23.6,725,1,180,1325,1315,"38PS@5500rpm","51Nm@4000rpm",4,"Manual",2230,110,4
"6",6,5,36,"Nano Genx","Xma",624,2,2,"BS IV",24,"Petrol",1652,3164,1750,5,23.6,21.9,710,2,180,1325,1315,"38PS@5500rpm","51Nm@4000rpm",4,"Automatic",2230,94,4
"7",7,6,7,"Redi-Go","D",799,3,4,"BS IV",28,"Petrol",1541,3429,1560,5,21.38,25.17,1383.01553829079,2,185,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2348,222,4.7
"8",8,7,7,"Redi-Go","T",799,3,4,"BS IV",28,"Petrol",1541,3429,1560,5,21.38,25.17,1383.01553829079,2,185,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2348,222,4.7
"9",9,8,7,"Redi-Go","A",799,3,4,"BS IV",28,"Petrol",1541,3429,1560,5,21.38,25.17,1383.01553829079,2,185,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2348,222,4.7
"10",10,9,7,"Redi-Go","S",799,3,4,"BS IV",28,"Petrol",1541,3429,1560,5,21.38,25.17,1383.01553829079,2,185,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2348,222,4.7
"11",11,10,7,"Redi-Go","1.0 S",999,3,4,"BS IV",28,"Petrol",1541,3429,1560,5,94.0801963534362,22.5,1383.01553829079,2,185,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Manual",2348,222,4.7
"12",12,11,7,"Redi-Go","1.0 S Amt",999,3,4,"BS IV",28,"Petrol",1541,3429,1560,5,94.0801963534362,23,1383.01553829079,2,185,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Automatic",2348,222,4.7
"13",13,12,34,"Kwid","Rxe 0.8",799,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,25.17,669,3,184,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2422,300,13.1699326599327
"14",14,13,34,"Kwid","Std 0.8",799,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,25.17,669,2,184,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2442,300,13.1699326599327
"15",15,14,34,"Kwid","Rxl 0.8",799,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,25.17,669,2,184,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2422,300,13.1699326599327
"16",16,15,34,"Kwid","Rxt 0.8",799,3,4,"BS 6",28,"Petrol",1490,3731,1580,5,25.17,25.17,669,2,184,1520,1526.37732656514,"54PS@5678rpm","72Nm@4386rpm",5,"Manual",2422,300,13.1699326599327
"17",17,16,34,"Kwid","Rxt 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,23.01,669,2,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Manual",2422,300,13.1699326599327
"18",18,17,34,"Kwid","Climber 1.0 Mt",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,23.01,669,2,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Manual",2422,300,13.1699326599327
"19",19,18,34,"Kwid","Rxt Amt 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,24.04,669,3.03012048192771,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Automatic",2422,300,13.1699326599327
"20",20,19,34,"Kwid","Climber Amt 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,24.04,669,3.03012048192771,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Automatic",2422,300,13.1699326599327
"21",21,20,34,"Kwid","Rxt (O) 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,23.01,669,2,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Manual",2422,300,13.1699326599327
"22",22,21,34,"Kwid","Rxt (O) Amt 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,23.01,669,2,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Automatic",2422,300,13.1699326599327
"23",23,22,34,"Kwid","Climber (O) Mt 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,23.01,669,2,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Manual",2422,300,13.1699326599327
"24",24,23,34,"Kwid","Climber (O) Amt 1.0",999,3,4,"BS 6",28,"Petrol",1490,3731,1579,5,25.17,24.04,669,3.03012048192771,184,1520,1526.37732656514,"68PS@5500rpm","91Nm@4250RPM",5,"Automatic",2422,300,13.1699326599327
"25",25,24,25,"Eeco","5 Str",1196,4,4,"BS 6",40,"Petrol",1800,3675,1475,5,12,15,920,2,160,1280,1290,"73PS@6000rpm","101Nm@3000rpm",5,"Manual",2350,400,4.5
"26",26,25,25,"Eeco","7 Str",1196,4,4,"BS 6",40,"Petrol",1800,3675,1475,5,12,15,940,2,160,1280,1290,"74PS@6000RPM","101Nm@3000rpm",7,"Manual",2350,250,4.5
"27",27,26,25,"Eeco","5 Str With Ac+Htr",1196,4,4,"BS 6",40,"Petrol",1800,3675,1475,5,11,15,928,2,160,1280,1290,"73PS@6000rpm","101Nm@3000rpm",5,"Manual",2350,400,4.5
"28",28,27,25,"Eeco","5 Str With Ac+Htr Cng",1196,4,4,"BS 6",40,"CNG",1800,3675,1475,5,94.0801963534362,19.8741181581234,1050,2,160,1280,1290,"62PS@6000rpm","85Nm@3000rpm",5,"Manual",2350,400,4.5
"29",29,28,25,"Eeco","5 Str With Htr Cng",1196,4,4,"BS 6",40,"CNG",1800,3675,1475,5,94.0801963534362,19.8741181581234,1030,2,160,1280,1290,"62PS@6000rpm","85Nm@3000rpm",5,"Manual",2350,400,4.5
"30",30,29,25,"Alto K10","Lxi",998,3,4,"BS IV",35,"Petrol",1475,3545,1490,5,14,24.07,745,2,160,1295,1290,"68PS@6000rpm","90Nm@3500rpm",5,"Manual",2360,177,4.6
"31",31,30,25,"Alto K10","Vxi",998,3,4,"BS IV",35,"Petrol",1475,3545,1490,5,14,24.07,750,2,160,1295,1290,"68PS@6200rpm","90Nm@3500rpm",5,"Manual",2360,177,4.6
"32",32,31,25,"Alto K10","Lx",998,3,4,"BS IV",35,"Petrol",1475,3545,1490,5,19,24.07,740,2,160,1295,1290,"68PS@6000rpm","90Nm@3500rpm",5,"Manual",2360,177,4.6
"33",33,32,25,"Alto K10","Vxi (O)",998,3,4,"BS IV",35,"Petrol",1460,3620,1475,5,14,24.07,755,2,160,1295,1290,"68PS@6000rpm","90Nm@3500rpm",5,"Manual",2360,177,4.6
"34",34,33,25,"Alto K10","Lxi Cng (O)",998,3,4,"BS IV",35,"CNG",1475,3545,1490,5,94.0801963534362,19.8741181581234,740,2,160,1295,1290,"59PS@6000rpm","78Nm@3500rpm",5,"Manual",2360,177,4.6
"35",35,34,25,"Alto K10","Vxi Amt (O)",998,3,4,"BS IV",35,"Petrol",1475,3545,1490,5,14,24.07,755,2,160,1295,1290,"68PS@6000rpm","90Nm@3500rpm",5,"Automatic",2360,177,4.6
"36",36,35,7,"Go","D",1198,3,4,"BS IV",35,"Petrol",1507,3788,1636,5,94.0801963534362,20.1,864,2,180,1440,1445,"68PS@5000rpm","104Nm@4000rpm",5,"Manual",2450,265,4.6
"37",37,36,7,"Go","T",1198,3,4,"BS IV",35,"Petrol",1507,3788,1636,5,94.0801963534362,20.1,864,2,180,1440,1445,"68PS@5000rpm","104Nm@4000rpm",5,"Manual",2450,265,4.6
